"CH1_x","CH1_y"
0,-0.6300403226,
1.75,-0.2268145161,
3.5,-0.4284274194,
5.25,-0.1260080645,
7,-0.2772177419,
8.75,-0.2772177419,
10.5,-0.2772177419,
12.25,-0.1764112903,
14,-0.2268145161,
15.75,-0.2772177419,
17.5,-0.0252016129,
19.25,-0.1260080645,
21,-0.1260080645,
22.75,-0.2268145161,
24.5,0.07560483871,
26.25,-0.1260080645,
28,-0.2772177419,
29.75,-0.0252016129,
31.5,-0.07560483871,
33.25,-0.3276209677,
35,-0.07560483871,
36.75,-0.2268145161,
38.5,-0.2268145161,
40.25,-0.1764112903,
42,-0.0252016129,
43.75,-0.2772177419,
45.5,-0.0252016129,
47.25,-0.1764112903,
49,-0.4284274194,
50.75,-0.2772177419,
52.5,-0.529233871,
54.25,-0.1764112903,
56,-0.2268145161,
57.75,-0.529233871,
59.5,-0.3780241935,
61.25,-0.4788306452,
63,-0.3276209677,
64.75,-0.4788306452,
66.5,-0.4284274194,
68.25,-0.3780241935,
70,-0.3780241935,
71.75,-0.3276209677,
73.5,-0.0252016129,
75.25,-0.2772177419,
77,-0.2772177419,
78.75,-0.4284274194,
80.5,-0.1764112903,
82.25,-0.3780241935,
84,-0.3780241935,
85.75,-0.4284274194,
87.5,0.0252016129,
89.25,-0.3276209677,
91,-0.3780241935,
92.75,-0.2772177419,
94.5,-0.1764112903,
96.25,-0.2268145161,
98,-0.3276209677,
99.75,-0.3276209677,
101.5,-0.2772177419,
103.25,-0.3276209677,
105,-0.1260080645,
106.75,-0.1764112903,
108.5,-0.2772177419,
110.25,-0.0252016129,
112,-0.1260080645,
113.75,-0.2268145161,
115.5,-0.0252016129,
117.25,-0.3780241935,
119,-0.0252016129,
120.75,0.07560483871,
122.5,-0.1260080645,
124.25,-0.529233871,
126,-0.1260080645,
127.75,-0.07560483871,
129.5,-0.2268145161,
131.25,-0.3276209677,
133,-0.1764112903,
134.75,-0.1764112903,
136.5,-0.1260080645,
138.25,-0.1260080645,
140,0.0252016129,
141.75,-0.2268145161,
143.5,-0.3780241935,
145.25,-0.1260080645,
147,0.1260080645,
148.75,-0.2268145161,
150.5,-0.07560483871,
152.25,-0.3780241935,
154,-0.1260080645,
155.75,-0.4788306452,
157.5,-0.2772177419,
159.25,-0.3780241935,
161,-0.1260080645,
162.75,-0.4284274194,
164.5,-0.529233871,
166.25,-0.4284274194,
168,-0.6300403226,
169.75,-0.3780241935,
171.5,-0.4788306452,
173.25,-0.4788306452,
175,0.0252016129,
176.75,-0.3780241935,
178.5,-0.4788306452,
180.25,-0.2772177419,
182,-0.529233871,
183.75,-0.0252016129,
185.5,-0.4788306452,
187.25,-0.5796370968,
189,-0.1764112903,
190.75,-0.78125,
192.5,-0.3780241935,
194.25,-0.0252016129,
196,-0.3276209677,
197.75,-0.1764112903,
199.5,-0.4284274194,
201.25,-0.1260080645,
203,-0.4284274194,
204.75,-0.2772177419,
206.5,-0.2268145161,
208.25,-0.1764112903,
210,-0.3276209677,
211.75,-0.2268145161,
213.5,-0.1260080645,
215.25,-0.07560483871,
217,-0.2772177419,
218.75,-0.1260080645,
220.5,0.1764112903,
222.25,0.4284274194,
224,-0.0252016129,
225.75,0.1764112903,
227.5,-0.0252016129,
229.25,0.1764112903,
231,0.1260080645,
232.75,0.07560483871,
234.5,-0.0252016129,
236.25,0.1260080645,
238,-0.0252016129,
239.75,-0.0252016129,
241.5,-0.1260080645,
243.25,-0.3276209677,
245,-0.07560483871,
246.75,-0.07560483871,
248.5,-0.2268145161,
250.25,-0.2772177419,
252,-0.2772177419,
253.75,-0.2268145161,
255.5,-0.4284274194,
257.25,-0.2772177419,
259,-0.4284274194,
260.75,-0.2268145161,
262.5,-0.3780241935,
264.25,-0.3780241935,
266,-0.3276209677,
267.75,-0.5796370968,
269.5,-0.2772177419,
271.25,-0.4788306452,
273,-0.3276209677,
274.75,-0.2268145161,
276.5,-0.3276209677,
278.25,-0.3780241935,
280,-0.529233871,
281.75,-0.6804435484,
283.5,-0.2772177419,
285.25,-0.4788306452,
287,-0.2772177419,
288.75,-0.3276209677,
290.5,-0.3276209677,
292.25,-0.1764112903,
294,-0.1764112903,
295.75,-0.4284274194,
297.5,-0.3276209677,
299.25,-0.529233871,
301,-0.4788306452,
302.75,-0.6804435484,
304.5,-0.3276209677,
306.25,-0.6804435484,
308,-0.5796370968,
309.75,-0.529233871,
311.5,-0.3276209677,
313.25,-0.4788306452,
315,-0.4284274194,
316.75,-0.5796370968,
318.5,-0.3780241935,
320.25,-0.3276209677,
322,-0.4284274194,
323.75,-0.3276209677,
325.5,-0.3276209677,
327.25,-0.3780241935,
329,-0.1260080645,
